STEP,ID,X,Y,PERIM,CX,CY,CMAG,RX,RY,RMAG,IX,IY,IMAG,DX,DY,DMAG,CHANGEX,CHANGEY,CHANGEMAG
1,0,-2.1800003051757812,-0.19999980926513672,True,0.23699994075298036,-0.07920007066726953,0.24988321894560406,-10.99754676049769,-4.740407537790005,11.975704504273205,-10.76054681974471,-4.819607608457274,11.79058884701766,0.0,0.0,0.0,-0.04563193204218614,-0.020438367170669797,0.05000000074505806
1,1,1.539999008178711,-0.26000022888183594,True,-0.16100001974900616,-0.002500033477943475,0.16101942903442185,8.344492239774713,1.5680092349691606,8.490536125628875,8.183492220025707,1.565509201491217,8.33188837990374,-0.0,0.0,0.0,0.049109469359356624,0.009394684334676653,0.05000000074505805
1,2,-1.4400005340576172,0.8999996185302734,True,0.15299997937679186,-0.14899998303254355,0.21356495178984075,-0.7726213400939308,10.752063287824535,10.779787042449062,-0.6196213607171389,10.603063304791991,10.621152577572898,0.0,-0.0,0.0,-0.0029169215178142653,0.049914843918064285,0.05000000074505807
1,3,0.0,0.0,False,-0.008000151634222321,-0.048000051498415054,0.048662175968826625,-3.264505280239442,1.0865384351089233,3.440575605284695,-3.2725054318736646,1.0385383836105082,3.4333444009995513,0.0,0.0,0.0,-0.04765769317644145,0.01512429686319243,0.05000000074505806
1,4,1.7599983215332031,-1.1000003814697266,True,-0.19319990925788488,0.09120000247955318,0.21364373473033432,9.144546264273131,-18.489937803810236,20.62766410353345,8.951346355015247,-18.398737801330682,20.46069779478597,-0.0,0.0,0.0,0.021874489761247996,-0.044961169604347075,0.05000000074505806
1,5,-0.5400009155273438,-1.0200004577636719,False,0.08200000452995305,0.12200003155072636,0.14699662731263785,-0.6587749965910952,7.610040989479836,7.63850170895424,-0.5767749920611421,7.732041021030563,7.753523569472558,0.0,0.0,0.0,-0.003719437978667259,0.04986146664137201,0.05000000074505805
1,6,1.1799983978271484,0.6799993515014648,True,-0.1401427597148037,-0.13842853687490578,0.19698338234939605,7.651980547619724,11.421177309539438,13.747585149294009,7.51183778790492,11.282748772664531,13.554634883273664,-0.0,-0.0,0.0,0.027709480795788853,0.041619523646164135,0.05000000074505807
1,7,0.2199993133544922,1.6399993896484375,True,-0.010800018739701045,-0.236999969363211,0.23724591858015354,-4.026473615278813,14.512958671149306,15.06115729832951,-4.037273634018514,14.275958701786095,14.83585438224045,-0.0,-0.0,0.0,-0.013606475199067323,0.048113032612411503,0.05000000074505807
1,8,0.17999839782714844,-1.8600006103515625,True,-0.01499989432947554,0.20271435589449993,0.20326855860072754,12.140240347742711,-12.537715386371284,17.452213120707967,12.125240453413236,-12.335001030476784,17.296638588897906,-0.0,0.0,0.0,0.03505085849997513,-0.035657220768317434,0.05000000074505807
1,9,-1.2000007629394531,-1.6599998474121094,True,0.06060001614093835,0.1835999466419196,0.19334244842557907,-20.674647426060314,-14.433766606091261,25.21457246575911,-20.614047409919376,-14.250166659449341,25.060051884233708,0.0,0.0,0.0,-0.04112929975628213,-0.02843203784577702,0.05000000074505805
